"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
234;"85676.jpg";"Lindberg";2997;"a";85676;"Jonas";"Lindberg";10;"";50;NA;NA;"0.2";"12.2";-5;0;5;0;FALSE;2;4,7;"1.0";8382;6626;18;6;0;0;0;0;61;1;"2.5";"1.0";"1.0";FALSE;1279;1;6;3;21;0;0;1;0;0;4;0;4;10;2017-11-16;"Jonas Lindberg";"Angrep";"SO8"
235;"215654.jpg";"Kachi";2997;"u";215654;"Kachi";"";8;"Utilgjengelig";55;0;0;"0.0";"0.0";0;0;0;0;FALSE;0;0,1;"0.0";99;1;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2017-11-16;"Kachi ";"Angrep";"SO8"
236;"247412.jpg";"Larsen";2997;"u";247412;"Jörgen Strand";"Larsen";45;"Utlånt";42;0;0;"0.0";"0.7";-3;0;3;0;FALSE;0;0,3;"0.0";252;91;0;0;0;0;0;0;3;0;"1.0";"0.0";"0.0";FALSE;30;0;0;0;0;0;0;0;0;0;0;0;4;10;2017-11-16;"Jörgen Strand Larsen";"Angrep";"SO8"
237;"215653.jpg";"Dickson Mbedule";2997;"u";215653;"Amani";"Dickson Mbedule";24;"Utilgjengelig";50;0;0;"0.0";"0.0";0;0;0;0;FALSE;0;0,1;"0.0";143;3;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2017-11-16;"Amani Dickson Mbedule";"Angrep";"SO8"
238;"247788.jpg";"Zachariassen";2997;"a";247788;"Kristoffer";"Zachariassen";17;"";61;NA;NA;"1.1";"18.7";6;1;-6;-1;FALSE;4;15,5;"6.7";7401;14145;51;261;0;0;0;0;112;2;"4.1";"7.0";"7.0";FALSE;2408;7;3;8;33;0;0;4;0;0;10;0;3;10;2017-11-16;"Kristoffer Zachariassen";"Midtbane";"SO8"
239;"249956.jpg";"Diatta";2997;"a";249956;"Krepin";"Diatta";19;"";63;0;0;"1.0";"13.3";3;1;-3;-1;FALSE;3;13,2;"6.0";2776;9284;18;73;0;0;0;0;84;6;"4.2";"0.0";"0.0";FALSE;1142;3;7;4;15;0;0;1;0;0;13;0;3;10;2017-11-16;"Krepin Diatta";"Midtbane";"SO8"
240;"117885.jpg";"Dyngeland";1250;"a";117885;"Matias";"Dyngeland";1;"";48;NA;NA;"0.2";"19.6";3;0;-3;0;FALSE;1;11,1;"1.0";3456;5415;53;7;0;0;0;0;94;1;"3.4";"1.0";"1.0";FALSE;2520;0;1;6;45;1;0;1;0;79;7;0;1;11;2017-11-16;"Matias Dyngeland";"Keeper";"SOG"
241;"223995.jpg";"Rutlin";1250;"a";223995;"Kristian";"Rutlin";21;"";39;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;0,7;"0.0";173;104;1;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;11;2017-11-16;"Kristian Rutlin";"Keeper";"SOG"
242;"39724.jpg";"Teniste";1250;"a";39724;"Taijo";"Teniste";2;"";46;NA;NA;"0.2";"11.5";-4;0;4;0;FALSE;0;0,9;"1.0";749;148;3;2;0;0;0;0;53;1;"2.2";"1.0";"1.0";FALSE;2007;0;1;4;35;0;0;0;0;0;1;0;2;11;2017-11-16;"Taijo Teniste";"Forsvar";"SOG"
243;"97349.jpg";"Skaasheim";1250;"a";97349;"Eirik";"Skaasheim";24;"";38;NA;NA;"0.0";"3.9";-2;0;2;0;FALSE;0;2,3;"0.0";1058;907;11;1;0;0;0;0;15;0;"1.3";"0.0";"0.0";FALSE;703;0;0;0;12;0;0;1;0;0;0;0;2;11;2017-11-16;"Eirik Skaasheim";"Forsvar";"SOG"
