"id";"round_id";"web_name";"status";"news";"chance_of_playing_this_round";"chance_of_playing_next_round";"ep_next";"element_type";"team";"posisjon";"team_navn";"selected_by_percent";"navn"
19;21;"Hatlehol";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,5;"Jørgen Hatlehol"
20;21;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Anders Waagan"
21;21;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;21;"Mos";"a";"";NA;NA;7;"4";1;"Angrep";"AAFK";18,3;"Mostafa Abdellaoue"
23;21;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,2;"Sebastian Andreassen"
24;21;"Berisha";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";1,7;"Valmir Berisha"
392;21;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,5;"Sigurd Tafjord"
413;21;"Veldwijk";"u";"Låneavtale utløpt";"0";"0";0;"4";1;"Angrep";"AAFK";0,7;"Lars Veldwijk"
441;21;"Karlsbakk";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0;"Markus Karlsbakk"
442;21;"Papazoglou";"a";"";NA;NA;5;"4";1;"Angrep";"AAFK";1,1;"Athanasios Papazoglou"
484;21;"Urke";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0;"Jan Lennart Urke"
1;4;"Lie";"a";"";NA;NA;5;"1";1;"Keeper";"AAFK";8,4;"Andreas Lie"
2;4;"Vestly Heigre";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0,5;"Pål Vestly Heigre"
3;4;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,5;"Sondre Sødergren"
4;4;"Ramsteijn";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,4;"Kaj Ramsteijn"
5;4;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,7;"Oddbjørn Lie"
6;4;"Kirkeskov";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";2,5;"Mikkel Kirkeskov"
7;4;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,4;"Tero Mäntylä"
8;4;"Arnarson";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1;"Adam Arnarson"
9;4;"Grétarsson";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";0,7;"Daníel Grétarsson"
10;4;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";3,4;"Joakim Barstad"
11;4;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1,1;"Lars Valderhaug"
12;4;"Riise";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";5,5;"Bjørn Helge Riise"
13;4;"Carlsen";"a";"";NA;NA;4;"3";1;"Midtbane";"AAFK";3,2;"Fredrik Carlsen"
14;4;"Gyasi";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";4,3;"Edwin Gyasi"
15;4;"Thrandarson";"d";"Skadet";NA;NA;3;"3";1;"Midtbane";"AAFK";1;"Aron Elís Thrandarson"
16;4;"Hoff";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";0,6;"Vebjørn Hoff"
